opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
1C1I7A6R,"Moses Frase","GTX Plus Basic",Cancity,Won,2016-10-20,2017-03-01,1054
Z063OYW0,"Darcel Schlecht",GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514
EC4QE1BX,"Darcel Schlecht","MG Special",Cancity,Won,2016-10-25,2017-03-07,50
MV1LWRNH,"Moses Frase","GTX Basic",Codehow,Won,2016-10-25,2017-03-09,588
PE84CX4O,"Zane Levy","GTX Basic",Hatfan,Won,2016-10-25,2017-03-02,517
ZNBS69V1,"Anna Snelling","MG Special",Ron-tech,Won,2016-10-29,2017-03-01,49
9ME3374G,"Vicki Laflamme","MG Special",J-Texon,Won,2016-10-30,2017-03-02,57
7GN8Q4LL,"Markita Hansen","GTX Basic",Cheers,Won,2016-11-01,2017-03-07,601
OLK9LKZB,"Niesha Huffines","GTX Plus Basic",Zumgoity,Won,2016-11-01,2017-03-03,1026
HAXMC4IX,"James Ascencio","MG Advanced",Hottechi,Engaging,2016-11-03,2017-05-22,472
NL3JZH1Z,"Anna Snelling","MG Special",Bioholding,Won,2016-11-04,2017-03-10,53
KWVA7VR1,"Gladys Colclough",GTXPro,"Genco Pura Olive Oil Company",Lost,2016-11-04,2017-03-18,0
S8DX3XOU,"James Ascencio","GTX Plus Pro",Sunnamplex,Won,2016-11-04,2017-03-10,5169
ENB2XD8G,"Maureen Marcano","GTX Plus Pro",Sonron,Won,2016-11-04,2017-03-06,4631
09YE9QOV,"Hayden Neloms","MG Advanced",Finjob,Won,2016-11-05,2017-03-11,3393
3F5MZNEH,"Rosalina Dieter","MG Special",Sonron,Lost,2016-11-05,2017-03-03,0
M6WEJXC0,"Rosalina Dieter","MG Advanced",Scotfind,Won,2016-11-05,2017-03-06,3284
6PTR7VBR,"Versie Hillebrand","MG Special",Treequote,Won,2016-11-06,2017-03-05,61
902REDPA,"Daniell Hammack",GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0
5J9CMGDV,"Elease Gluck","MG Special",Rantouch,Won,2016-11-07,2017-03-08,46
JJXRR8R6,"James Ascencio","GTX Plus Pro",Fasehatice,Lost,2016-11-07,2017-03-17,0
WF4HA5NW,"Moses Frase","MG Special",Ron-tech,Won,2016-11-07,2017-03-18,50
C5K2JP1H,"Violet Mclelland","GTX Plus Basic","Vehement Capital Partners",Won,2016-11-07,2017-03-11,1014
